iter	RMSE
0	3752.585947
1	3535.159378
2	3338.328567
3	3151.492576
4	2981.753322
5	2821.274377
6	2669.978042
7	2523.962773
8	2397.68959
9	2277.84222
10	2162.049345
11	2052.465369
12	1952.983917
13	1860.109256
14	1773.015954
15	1693.131373
16	1622.410599
17	1553.326449
18	1485.300467
19	1424.164314
20	1369.811791
21	1319.476646
22	1271.048048
23	1225.800054
24	1182.809218
25	1140.566948
26	1104.50827
27	1070.066774
28	1038.534378
29	1009.880168
30	982.6682085
31	956.8121618
32	933.6624324
33	912.5822324
34	891.1917186
35	874.0019084
36	856.9932975
37	840.0180228
38	825.4557103
39	811.32746
40	798.2650221
41	785.7312937
42	773.8889831
43	764.1828521
44	754.7837682
45	745.3719568
46	736.4144483
47	727.8514294
48	719.170773
49	711.8450526
50	704.2240268
51	697.8907348
52	692.5024901
53	687.176875
54	681.7741359
55	676.278419
56	671.2305212
57	667.0104046
58	662.2389525
59	657.7991847
60	653.5885487
61	650.2318496
62	646.8005414
63	642.7240128
64	639.5515287
65	636.4678869
66	633.6746559
67	630.7631871
68	628.2140613
69	625.6282911
70	622.2731182
71	620.2525229
72	618.2048496
73	615.5303266
74	612.7307527
75	610.7268583
76	609.4755707
77	607.9948398
78	605.7900167
79	604.1032597
80	602.7429834
81	601.042086
82	599.2849454
83	597.6875154
84	596.2595161
85	595.0161272
86	592.9499219
87	591.2963592
88	590.0041788
89	588.1443071
90	587.2392307
91	586.2484909
92	585.2756001
93	584.1487788
94	582.9853993
95	580.9838041
96	579.6399697
97	578.6996815
98	578.1345422
99	576.8091095
100	575.3818519
101	573.746359
102	572.8410675
103	571.9377515
104	571.0559722
105	570.0653468
106	569.2805115
107	568.2830953
108	567.5911657
109	566.8636861
110	566.0036611
111	564.8611817
112	564.0914013
113	563.3722117
114	562.2275997
115	561.4081907
116	560.605406
117	560.0083656
118	559.1826926
119	558.0284343
120	557.4199633
121	556.5821244
122	555.8466984
123	554.8750134
124	553.8725969
125	553.2274686
126	552.2623235
127	551.755821
128	551.1467294
129	550.3078108
130	549.6011668
131	548.7367623
132	548.331956
133	547.7904573
134	546.8328904
135	546.4229734
136	545.5846129
137	545.066191
138	544.4337281
139	543.9112863
140	543.3785446
141	542.9959432
142	542.1064944
143	541.5087673
144	541.0411139
145	540.4089937
146	539.9421495
147	539.5616789
148	538.8981945
149	537.9637601
150	537.5968462
151	536.7421206
152	536.2450813
153	535.6388228
154	534.9512355
155	534.0345707
156	533.2759498
157	532.8555035
158	532.4889563
159	531.9308869
160	531.1556625
161	530.2602632
162	529.828282
163	529.3210158
164	528.6187867
165	527.9411659
166	527.7201621
167	527.0246788
168	526.4220719
169	525.7956279
170	525.0877346
171	524.7608824
172	524.2792231
173	523.9393109
174	523.5088875
175	523.0116891
176	522.4176373
177	522.0844124
178	521.8355957
179	521.2776327
180	520.8432571
181	520.3035724
182	520.0304903
183	519.5111381
184	519.2168106
185	518.8999772
186	518.4511648
187	517.9266735
188	517.5278292
189	517.4032966
190	517.2240819
191	516.69377
192	516.5570795
193	516.0453368
194	515.6620332
195	515.3844566
196	514.9917446
197	514.5794183
198	514.3589072
199	514.1868419
200	513.6471447
201	513.3943195
202	513.1168082
203	512.4785293
204	512.1027451
205	511.8253567
206	511.4537012
207	510.9535362
208	510.9079854
209	510.7590147
210	510.5199852
211	510.1144768
212	509.5293071
213	509.3049457
214	508.7521809
215	508.2300393
216	507.8726515
217	507.6863991
218	507.0040974
219	506.6485973
220	506.4812271
221	506.1974647
222	505.9456403
223	505.4653333
224	505.3027113
225	505.1465234
226	504.8378143
227	504.6677088
228	504.1876308
229	503.8466192
230	503.7593166
231	503.5569177
232	503.1886948
233	502.8108725
234	502.7889771
235	502.5160074
236	502.1738053
237	501.5913855
238	501.3908664
239	501.1810732
240	500.9049865
241	500.4880258
242	500.4059855
243	500.0006702
244	499.5768218
245	499.1528435
246	498.7963194
247	498.5551497
248	498.4869628
249	498.4432941
250	498.1845906
251	497.8240366
252	497.4487367
253	497.1615256
254	497.0818182
255	496.9616157
256	496.8500007
257	496.5601752
258	496.2154531
259	495.8498395
260	495.4937664
261	495.160661
262	494.8661686
263	494.6820127
264	494.5790828
265	494.356104
266	494.0099896
267	493.5805489
268	493.2912011
269	493.0874564
270	492.6342103
271	492.2960398
272	492.0455021
273	491.8958674
274	491.5391557
275	491.2064213
276	490.9889255
277	490.7474094
278	490.0983109
279	489.9107107
280	489.5893629
281	489.3480724
282	489.0436207
283	488.8545927
284	488.7307043
285	488.4364669
286	488.1414052
287	487.9731527
288	487.6855973
