iter	Passed	Remaining
0	16	16101
1	18	9157
2	20	6776
3	22	5603
4	24	4869
5	26	4377
6	28	4042
7	30	3788
8	32	3588
9	34	3431
10	36	3302
11	38	3197
12	41	3113
13	43	3051
14	45	2978
15	47	2912
16	49	2858
17	51	2804
18	53	2753
19	55	2711
20	57	2673
21	59	2643
22	61	2611
23	63	2587
24	65	2560
25	67	2537
26	69	2516
27	72	2500
28	74	2482
29	76	2465
30	78	2451
31	80	2435
32	82	2421
33	84	2409
34	86	2394
35	88	2383
36	91	2373
37	93	2358
38	95	2346
39	97	2338
40	99	2330
41	101	2323
42	104	2316
43	106	2306
44	108	2297
45	110	2288
46	112	2279
47	114	2269
48	116	2263
49	118	2255
50	120	2248
51	122	2239
52	124	2229
53	126	2221
54	128	2212
55	130	2203
56	132	2197
57	134	2190
58	137	2185
59	139	2179
60	141	2171
61	142	2163
62	145	2157
63	147	2152
64	149	2149
65	151	2146
66	153	2139
67	155	2134
68	157	2127
69	159	2121
70	161	2114
71	163	2109
72	165	2103
73	167	2098
74	169	2094
75	171	2089
76	173	2084
77	175	2078
78	177	2073
79	179	2067
80	181	2062
81	183	2058
82	186	2055
83	188	2053
84	190	2051
85	192	2048
86	194	2045
87	197	2043
88	199	2039
89	201	2036
90	203	2031
91	205	2026
92	207	2023
93	209	2022
94	212	2021
95	214	2017
96	216	2012
97	218	2008
98	220	2007
99	222	2006
100	225	2003
101	227	2001
102	229	1999
103	231	1996
104	233	1992
105	235	1988
106	237	1984
107	239	1980
108	241	1976
109	243	1972
110	245	1968
111	247	1966
112	250	1962
113	252	1958
114	254	1955
115	256	1951
116	258	1950
117	260	1947
118	262	1943
119	264	1940
120	266	1937
121	268	1933
122	270	1930
123	272	1926
124	274	1922
125	276	1919
126	278	1916
127	280	1912
128	282	1910
129	285	1908
130	287	1903
131	288	1899
132	290	1896
133	292	1892
134	294	1888
135	296	1885
136	298	1881
137	300	1878
138	302	1875
139	304	1872
140	306	1868
141	308	1865
142	310	1862
143	312	1858
144	314	1856
145	316	1852
146	318	1850
147	320	1845
148	322	1842
149	324	1839
150	326	1835
151	328	1832
152	330	1829
153	332	1827
154	334	1824
155	336	1820
156	338	1817
157	340	1815
158	342	1811
159	344	1808
160	346	1805
161	348	1802
162	350	1798
163	352	1795
164	354	1792
165	356	1789
166	358	1786
167	360	1783
168	362	1780
169	364	1777
170	366	1775
171	368	1773
172	370	1770
173	372	1768
174	374	1765
175	376	1762
176	378	1760
177	380	1757
178	382	1754
179	384	1752
180	386	1749
181	388	1746
182	390	1743
183	392	1740
184	394	1737
185	396	1735
186	398	1732
187	400	1730
188	402	1727
189	404	1725
190	406	1722
191	408	1720
192	410	1717
193	412	1714
194	414	1711
195	416	1708
196	418	1705
197	420	1703
198	422	1700
199	424	1697
200	426	1695
201	428	1692
202	430	1689
203	432	1687
204	434	1685
205	436	1683
206	438	1680
207	441	1679
208	442	1676
209	444	1673
210	446	1671
211	449	1669
212	451	1666
213	453	1664
214	455	1661
215	457	1659
216	459	1657
217	461	1654
218	463	1652
219	465	1649
220	467	1646
221	469	1644
222	471	1641
223	473	1638
224	475	1636
225	476	1633
226	478	1630
227	480	1628
228	483	1626
229	485	1624
230	487	1621
231	489	1618
232	490	1615
233	492	1613
234	494	1610
235	496	1608
236	498	1605
237	501	1604
238	503	1601
239	505	1599
240	506	1596
241	509	1594
242	511	1591
243	513	1589
244	515	1587
245	517	1585
246	519	1582
247	521	1580
248	523	1577
249	525	1575
250	527	1572
251	529	1571
252	531	1568
253	533	1565
254	535	1563
255	537	1560
256	538	1558
257	540	1555
258	543	1553
259	545	1551
260	547	1549
261	549	1546
262	551	1544
263	553	1542
264	555	1539
265	557	1537
266	559	1535
267	561	1532
268	563	1530
269	565	1528
270	567	1526
271	569	1523
272	571	1521
273	573	1518
274	575	1516
275	577	1513
276	579	1512
277	581	1509
278	583	1507
279	585	1505
280	587	1503
281	589	1501
282	591	1498
283	593	1496
284	595	1493
285	597	1491
286	599	1489
287	601	1487
288	603	1485
289	606	1483
290	608	1481
291	610	1479
292	612	1477
293	614	1475
294	616	1473
295	618	1471
296	620	1469
297	622	1467
298	624	1464
299	626	1462
300	628	1460
301	630	1457
302	632	1455
303	634	1453
304	636	1450
305	638	1448
306	640	1446
307	642	1443
308	644	1441
309	646	1439
310	648	1437
311	650	1435
312	652	1433
313	655	1431
314	657	1429
315	659	1426
316	661	1424
317	663	1422
318	665	1420
319	667	1418
320	669	1415
321	671	1413
322	673	1411
323	675	1409
324	677	1407
325	679	1404
326	681	1402
327	683	1400
328	685	1397
329	687	1395
330	689	1393
331	691	1391
332	693	1388
333	695	1386
334	697	1384
335	699	1382
336	701	1380
337	703	1378
338	705	1375
339	707	1373
340	709	1371
341	711	1369
342	713	1367
343	715	1364
344	717	1362
345	719	1360
346	721	1358
347	723	1355
348	725	1353
349	727	1351
350	730	1349
351	732	1347
352	734	1345
353	735	1343
354	737	1340
355	739	1338
356	741	1336
357	743	1333
358	745	1331
359	747	1329
360	749	1327
361	751	1324
362	753	1322
363	755	1320
364	757	1318
365	759	1316
366	761	1313
367	763	1311
368	765	1309
369	767	1307
370	769	1305
371	771	1303
372	774	1301
373	776	1299
374	778	1296
375	780	1294
376	782	1292
377	784	1290
378	786	1287
379	788	1285
380	790	1283
381	792	1281
382	794	1279
383	796	1277
384	798	1275
385	800	1273
386	802	1270
387	804	1268
388	806	1266
389	808	1264
390	810	1262
391	812	1259
392	814	1257
393	816	1255
394	818	1253
395	820	1251
396	822	1248
397	824	1246
398	826	1244
399	828	1242
400	830	1240
401	832	1238
402	834	1236
403	836	1234
404	838	1232
405	840	1230
406	842	1228
407	844	1225
408	846	1223
409	848	1221
410	850	1219
411	852	1217
412	854	1214
413	856	1212
414	858	1210
415	860	1208
416	862	1206
417	864	1204
418	867	1202
419	869	1200
420	871	1198
421	873	1196
422	875	1194
423	877	1192
424	879	1189
425	881	1187
426	883	1185
427	885	1183
428	887	1181
429	889	1179
430	891	1177
431	893	1175
432	895	1172
433	897	1170
434	899	1168
435	901	1166
436	903	1164
437	905	1162
438	907	1160
439	909	1158
440	911	1156
441	914	1153
442	915	1151
443	917	1149
444	920	1147
445	921	1145
446	923	1142
447	925	1140
448	927	1138
449	929	1136
450	931	1134
451	933	1132
452	935	1130
453	937	1127
454	939	1125
455	941	1123
456	943	1121
457	946	1119
458	948	1117
459	950	1115
460	952	1113
461	954	1111
462	956	1109
463	958	1107
464	960	1105
465	962	1103
466	964	1101
467	966	1099
468	968	1096
469	970	1094
470	972	1092
471	975	1090
472	976	1088
473	979	1086
474	981	1084
475	983	1082
476	985	1080
477	987	1078
478	989	1075
479	991	1073
480	993	1071
481	995	1069
482	997	1067
483	999	1065
484	1001	1063
485	1003	1060
486	1004	1058
487	1006	1056
488	1009	1054
489	1011	1052
490	1013	1050
491	1015	1048
492	1017	1046
493	1019	1044
494	1021	1042
495	1023	1040
496	1025	1038
497	1027	1036
498	1029	1033
499	1031	1031
500	1033	1029
501	1035	1027
502	1037	1025
503	1039	1023
504	1041	1021
505	1043	1019
506	1045	1017
507	1047	1014
508	1049	1012
509	1052	1010
510	1053	1008
511	1055	1006
512	1058	1004
513	1059	1002
514	1061	1000
515	1063	997
516	1065	995
517	1067	993
518	1069	991
519	1071	989
520	1074	987
521	1076	985
522	1078	983
523	1080	981
524	1082	979
525	1084	977
526	1086	975
527	1088	973
528	1090	971
529	1092	969
530	1095	967
531	1097	965
532	1099	963
533	1101	961
534	1103	959
535	1105	956
536	1107	954
537	1109	952
538	1110	950
539	1112	948
540	1114	945
541	1116	943
542	1118	941
543	1120	939
544	1122	936
545	1124	934
546	1126	932
547	1128	930
548	1130	928
549	1132	926
550	1134	924
551	1136	922
552	1138	920
553	1140	918
554	1142	915
555	1144	913
556	1146	911
557	1148	909
558	1150	907
559	1152	905
560	1153	902
561	1155	900
562	1157	898
563	1159	896
564	1161	894
565	1163	892
566	1165	890
567	1167	888
568	1169	885
569	1171	883
570	1173	881
571	1176	880
572	1178	877
573	1179	875
574	1181	873
575	1183	871
576	1185	869
577	1187	867
578	1189	864
579	1191	862
580	1193	860
581	1195	858
582	1197	856
583	1199	854
584	1201	852
585	1203	850
586	1205	848
587	1207	845
588	1209	843
589	1211	841
590	1213	839
591	1215	837
592	1217	835
593	1219	833
594	1221	831
595	1223	829
596	1225	827
597	1227	824
598	1229	822
599	1230	820
600	1232	818
601	1234	816
602	1236	814
603	1238	812
604	1240	810
605	1243	808
606	1245	806
607	1247	804
608	1249	802
609	1251	800
610	1253	798
611	1255	795
612	1257	793
613	1259	791
614	1262	790
615	1264	788
616	1266	786
617	1268	784
618	1270	781
619	1272	779
620	1274	777
621	1276	775
622	1278	773
623	1280	771
624	1282	769
625	1284	767
626	1286	765
627	1287	762
628	1289	760
629	1291	758
630	1293	756
631	1295	754
632	1297	752
633	1299	750
634	1301	748
635	1303	745
636	1305	743
637	1307	741
638	1309	739
639	1311	737
640	1313	735
641	1315	733
642	1317	731
643	1319	729
644	1321	727
645	1323	725
646	1325	722
647	1327	720
648	1328	718
649	1330	716
650	1332	714
651	1334	712
652	1336	710
653	1338	708
654	1340	705
655	1342	703
656	1344	701
657	1346	699
658	1347	697
659	1350	695
660	1352	693
661	1354	691
662	1355	689
663	1357	687
664	1359	684
665	1361	682
666	1363	680
667	1365	678
668	1367	676
669	1369	674
670	1370	672
671	1372	670
672	1374	667
673	1376	665
674	1378	663
675	1380	661
676	1382	659
677	1384	657
678	1386	655
679	1388	653
680	1390	651
681	1392	649
682	1394	647
683	1396	645
684	1398	642
685	1400	640
686	1401	638
687	1403	636
688	1405	634
689	1407	632
690	1409	630
691	1411	628
692	1413	626
693	1415	624
694	1417	622
695	1419	620
696	1421	617
697	1423	615
698	1425	613
699	1426	611
700	1428	609
701	1430	607
702	1432	605
703	1434	603
704	1436	601
705	1438	598
706	1440	596
707	1442	594
708	1444	592
709	1446	590
710	1447	588
711	1449	586
712	1451	584
713	1454	582
714	1455	580
715	1457	578
716	1459	576
717	1461	574
718	1463	572
719	1465	570
720	1467	567
721	1469	565
722	1471	563
723	1473	561
724	1475	559
725	1477	557
726	1479	555
727	1481	553
728	1483	551
729	1485	549
730	1487	547
731	1489	545
732	1491	543
733	1493	541
734	1495	539
735	1497	537
736	1499	535
737	1501	533
738	1503	530
739	1505	528
740	1507	526
741	1509	524
742	1511	522
743	1513	520
744	1514	518
745	1516	516
746	1518	514
747	1520	512
748	1522	510
749	1524	508
750	1526	506
751	1528	504
752	1530	502
753	1532	500
754	1534	497
755	1536	495
756	1538	493
757	1540	491
758	1542	489
759	1543	487
760	1545	485
761	1547	483
762	1549	481
763	1551	479
764	1553	477
765	1555	475
766	1558	473
767	1559	471
768	1561	469
769	1563	467
770	1565	465
771	1567	462
772	1569	460
773	1571	458
774	1573	456
775	1575	454
776	1577	452
777	1579	450
778	1581	448
779	1583	446
780	1585	444
781	1587	442
782	1589	440
783	1591	438
784	1593	436
785	1595	434
786	1597	432
787	1599	430
788	1601	428
789	1602	426
790	1604	424
791	1606	421
792	1608	419
793	1610	417
794	1612	415
795	1614	413
796	1616	411
797	1618	409
798	1620	407
799	1622	405
800	1624	403
801	1626	401
802	1628	399
803	1630	397
804	1632	395
805	1634	393
806	1636	391
807	1638	389
808	1639	387
809	1641	385
810	1643	383
811	1645	381
812	1647	379
813	1649	376
814	1651	374
815	1653	372
816	1655	370
817	1657	368
818	1659	366
819	1662	364
820	1664	362
821	1666	360
822	1667	358
823	1669	356
824	1671	354
825	1673	352
826	1675	350
827	1677	348
828	1679	346
829	1681	344
830	1683	342
831	1685	340
832	1686	338
833	1689	336
834	1691	334
835	1693	332
836	1695	330
837	1697	328
838	1699	326
839	1701	324
840	1703	322
841	1705	319
842	1707	317
843	1709	315
844	1711	313
845	1713	311
846	1715	309
847	1717	307
848	1719	305
